Estacion,Fecha,Especie,Circunferencia a la altura del pecho,DAP,Fromard et al 1998,"Medina, 2016",Yepes et al 2016 A,Yepes et al 2016 B
Estacion,12/15/2018,Avicennia,25.6,8.148714031,21.51502329,34.42810728,3.179757312,24.03861727
Estacion,12/15/2018,Avicennia,58.2,18.52559206,154.4475655,257.8653009,5.19192517,179.7862913
Estacion,12/15/2018,Avicennia,30.2,9.612936084,31.98766705,51.62549713,3.584618765,36.03572674
Estacion,12/15/2018,Avicennia,47,14.96052967,92.46997983,152.6910364,4.668267675,106.4980999
Estacion,12/15/2018,Avicennia,25.3,8.053221289,20.91486929,33.44735706,3.15087682,23.35431977
Estacion,12/15/2018,Avicennia,40.5,12.89152024,64.69309958,106.0055748,4.303595887,73.95570508
Estacion,12/15/2018,Avicennia,73.2,23.30022918,267.788855,452.4317162,5.753734832,315.3116846
Estacion,12/15/2018,Avicennia,30.6,9.74025974,33.0139377,53.31807313,3.616856072,37.21631322
Estacion,12/15/2018,Avicennia,31,9.867583397,34.05916285,55.04307519,3.648674701,38.41948926
Estacion,12/15/2018,Avicennia,48,15.27883881,97.26237576,160.7793862,4.719848527,112.1353298
Estacion,12/15/2018,Avicennia,40.2,12.7960275,63.54895761,104.0907743,4.28538019,72.62078568
Estacion,12/15/2018,Avicennia,22.5,7.161955691,15.78352299,25.08863911,2.863518558,17.52156409
Estacion,12/15/2018,Avicennia,44.5,14.16475681,81.10169487,133.5412581,4.534354564,93.15064899
Estacion,12/15/2018,Avicennia,80,25.46473135,331.4224112,562.5186758,5.971371305,391.972446
Estacion,12/15/2018,Avicennia,32.3,10.28138528,37.58823708,60.87557112,3.749320765,42.48741426
Estacion,12/15/2018,Avicennia,9.8,3.11942959,2.147377931,3.269792508,0.827242895,2.286947577
Estacion,12/15/2018,Avicennia,57.4,18.27094474,149.4013238,249.2616762,5.158014594,173.7920239
Estacion,12/15/2018,Avicennia,39.7,12.63687293,61.66846239,100.9452551,4.25471646,70.42782163
Estacion,12/15/2018,Avicennia,19,6.047873695,10.5190022,16.57491951,2.449281549,11.57917027
Estacion,12/15/2018,Avicennia,11.8,3.756047874,3.353379626,5.155423442,1.282249903,3.604601784
Estacion,12/15/2018,Avicennia,15.4,4.901960784,6.353538031,9.903205154,1.934606449,6.92091655
Estacion,12/15/2018,Avicennia,20.2,6.429844665,12.18454147,19.26021705,2.599328431,13.45364647
Estacion,12/15/2018,Avicennia,13.5,4.297173415,4.631982909,7.170848132,1.61199578,5.012562459
Estacion,12/15/2018,Avicennia,8.2,2.610134963,1.399971355,2.112168914,0.390534728,1.477753416
Estacion,12/15/2018,Avicennia,10.6,3.374076903,2.592387869,3.963452106,1.019498353,2.771718882
Estacion,12/15/2018,Avicennia,20,6.366182837,11.89701183,18.79604452,2.574950121,13.12964441
Estacion,12/15/2018,Avicennia,22.9,7.289279348,16.46535359,26.19629526,2.906691481,18.29456424
Estacion,12/15/2018,Avicennia,16.1,5.124777184,7.068837634,11.04348702,2.043513267,7.717201128
Estacion,12/15/2018,Avicennia,35,11.14081996,45.57526581,74.11785617,3.946008801,51.72235118
Estacion,12/15/2018,Avicennia,51.5,16.3929208,115.1604236,191.0596633,4.892281479,133.2376272
Estacion,12/15/2018,Avicennia,37.5,11.93659282,53.78249511,87.77759626,4.115041336,61.24715867
Estacion,12/15/2018,Avicennia,34.8,11.07715814,44.95273182,73.08378933,3.931968648,51.00125714
Estacion,12/15/2018,Avicennia,25.3,8.053221289,20.91486929,33.44735706,3.15087682,23.35431977
Estacion,12/15/2018,Avicennia,18.2,5.793226381,9.487182064,14.91585822,2.343888956,10.42095202
Estacion,12/15/2018,Avicennia,19.4,6.175197352,11.05834298,17.44354404,2.500325062,12.18553745
Estacion,12/15/2018,Avicennia,33.5,10.66335625,41.02734758,66.57076966,3.838692376,46.4593073
Estacion,12/15/2018,Avicennia,11.6,3.692386045,3.218585704,4.943822581,1.240368541,3.456758159
Estacion,12/15/2018,Avicennia,43.5,13.84644767,76.79626889,126.3034856,4.478670349,88.10554981
Estacion,12/15/2018,Avicennia,42,13.36898396,70.59341649,115.8914802,4.392696615,80.84747703
Estacion,12/15/2018,Avicennia,70,22.28163993,240.5476951,405.4694046,5.644219394,282.6048078
Estacion,12/15/2018,Avicennia,30.8,9.803921569,33.53417477,54.17650895,3.632817041,37.81506925
Estacion,12/15/2018,Avicennia,42,13.36898396,70.59341649,115.8914802,4.392696615,80.84747703
Estacion,12/15/2018,Avicennia,55,17.5070028,134.8454692,224.4804015,5.053372354,156.5257026
Estacion,12/15/2018,Avicennia,40,12.73236567,62.7928049,102.8257073,4.273160713,71.73882376
Estacion,6/22/2017,Laguncularia,53.5,17.02953909,122.0695676,128.6029629,4.985626103,146.2731871
Estacion,6/22/2017,Laguncularia,17.7,5.634071811,7.685216686,10.95801257,2.275639417,9.733474392
Estacion,6/22/2017,Laguncularia,12.8,4.074357016,3.417809678,5.325205728,1.481546719,4.399549369
Estacion,6/22/2017,Laguncularia,31.2,9.931245225,31.7036625,38.71059995,3.664430383,39.02958978
Estacion,6/22/2017,Laguncularia,34.4,10.94983448,40.46868174,48.11027403,3.903644633,49.57700513
Estacion,6/22/2017,Laguncularia,28,8.912655971,24.1890064,30.42262996,3.3993071,29.94028115
Estacion,6/22/2017,Laguncularia,39.4,12.54138019,56.81506471,65.08140235,4.2361323,69.13110528
Estacion,6/22/2017,Laguncularia,19.2,6.111535523,9.418375968,13.13366606,2.474936234,11.88006434
Estacion,6/22/2017,Laguncularia,43.7,13.9101095,73.60825861,81.96189394,4.489908901,89.10128344
Estacion,6/22/2017,Laguncularia,20,6.366182837,10.43032739,14.38325885,2.574950121,13.12964441
Estacion,6/22/2017,Laguncularia,36,11.45912911,45.33975855,53.23484597,4.01502745,55.41811819
Estacion,6/22/2017,Laguncularia,29.3,9.326457856,27.0951776,33.65721555,3.510495465,33.46130802
Estacion,6/22/2017,Laguncularia,35,11.14081996,42.25645517,49.99852679,3.946008801,51.72235118
Estacion,6/22/2017,Laguncularia,35,11.14081996,42.25645517,49.99852679,3.946008801,51.72235118
Estacion,6/22/2017,Laguncularia,38.1,12.1275783,52.24387604,60.39701568,4.153931042,63.67588975
Estacion,6/22/2017,Laguncularia,44,14.00560224,74.87807008,83.21989299,4.506670654,90.60731844
Estacion,6/22/2017,Laguncularia,32,10.18589254,33.77519747,40.95529192,3.726459012,41.5271252
