Localidad,Fecha,Estacion,Transecto,Parcela,Especie,CAP (cm),DAP (cm),Altura (m),Estado,Estado de decaimiento,Biomasa vivos (kg) Medina 2016,Biomasa de arboles muertos (kg),Biomasa total (kg)
San Andres,3/10/2022,Old Point,2,P5,Rm,12.1,3.851540616,,V,,7.575404867,,7.575405
San Andres,3/10/2022,Old Point,2,P5,Rm,8.2,2.610134963,,V,,3.07741519,,3.077415
San Andres,3/10/2022,Old Point,2,P5,Rm,8.8,2.801120448,,V,,3.624045249,,3.624045
San Andres,3/10/2022,Old Point,2,P5,Rm,8.2,2.610134963,,V,,3.07741519,,3.077415
San Andres,3/10/2022,Old Point,2,P5,Ag,14.4,4.583651642,,M,3,8.400179115,5.880125,14.280304
San Andres,3/10/2022,Old Point,2,P5,Ag,31.7,10.0903998,,V,,58.14042711,,58.140427
San Andres,3/10/2022,Old Point,2,P5,Rm,8.2,2.610134963,,V,,3.07741519,,3.077415
San Andres,3/10/2022,Old Point,2,P5,Rm,8.4,2.673796791,,V,,3.25399373,,3.253994
San Andres,3/10/2022,Old Point,2,P5,Ag,32.6,10.37687802,,V,,62.27113976,,62.27114
San Andres,3/10/2022,Old Point,2,P5,Ag,17.2,5.47491724,,V,,12.98602749,,12.986027
San Andres,3/10/2022,Old Point,2,P5,Rm,7.9,2.514642221,,V,,2.822987046,,2.822987
San Andres,3/10/2022,Old Point,2,P5,Rm,79,25.14642221,,V,,583.4570411,,583.457041
San Andres,3/10/2022,Old Point,2,P8,Ag,17.3,5.506748154,,V,,13.17191307,,13.171913
San Andres,3/10/2022,Old Point,2,P8,Ag,11.4,3.628724217,,V,,4.737452283,,4.737452
San Andres,3/10/2022,Old Point,2,P8,Ag,17.5,5.570409982,,V,,13.54838747,,13.548387
San Andres,3/10/2022,Old Point,2,P8,Ag,27.3,8.689839572,,V,,40.3061379,,40.306138
San Andres,3/10/2022,Old Point,2,P8,Ag,24.3,7.734912147,,M,3,30.29856958,21.208999,51.507568
San Andres,3/10/2022,Old Point,2,P8,Ag,52,16.55207538,,V,,195.6395352,,195.639535
San Andres,3/10/2022,Old Point,2,P8,Ag,39.5,12.5732111,,M,3,99.70302247,69.792116,169.495138
San Andres,3/10/2022,Old Point,2,P8,Ag,23.8,7.575757576,,V,,28.79286959,,28.79287
San Andres,3/10/2022,Old Point,2,P8,Rm,111.2,35.39597657,,M,3,1287.595039,901.316527,2188.911566
San Andres,3/10/2022,Old Point,2,P8,Rm,29.4,9.35828877,,M,3,59.16943944,41.418608,100.588047
San Andres,3/10/2022,Old Point,2,P8,Rm,28.4,9.039979628,,V,,54.61360356,,54.613604
San Andres,3/10/2022,Old Point,2,P8,Rm,27.2,8.658008658,,M,3,49.41858024,34.593006,84.011586
San Andres,3/10/2022,Old Point,2,P8,Rm,15.4,4.901960784,,M,3,13.24035427,9.268248,22.508602
San Andres,3/10/2022,Old Point,2,P8,Rm,32,10.18589254,,M,3,71.9957111,50.396998,122.392709
San Andres,3/10/2022,Old Point,2,P8,Rm,25.2,8.021390374,,M,3,41.40907724,28.986354,70.395431
