Key1,Proyecto,Species,DAP_INDIV,AB_INDIV,VOL_COM,VOL_TOTAL,H_TOTAL,H_FUSTE,BIOM_INDIV,CARB_INDIV,Sum_CARB_INDIV,Sum_ID_INDV_MU,Count_ESPECIE
185,EIA PPII - PLATERO sobre YNC,Matayba adenanthera Radlk.,0.151879476,0.019573317,1.754010679,0.185698453,12.9047619,5.438095238,0.007975389,0.003987694,0.083741584,440,21
186,EIA PPII - PLATERO sobre YNC,Vismia macrophylla Kunth,0.131143802,0.014227652,0.431625998,0.132509637,12,7.8,0.00443936,0.002219679,0.011098396,151,5
187,EIA PPII - PLATERO sobre YNC,Inga punctata Willd.,0.13634267,0.0146887,0.400970303,0.088802816,8.666666667,6.5,0.001509668,0.000754833,0.004528999,96,6
188,EIA PPII - PLATERO sobre YNC,Lecythis sp.,0.143239006,0.016114401,0.101521,0.146641001,13,9,0.00360225,0.00180113,0.00180113,20,1
189,EIA PPII - PLATERO sobre YNC,Byrsonima spicata (Cav.) Kunth,0.190538313,0.034524138,6.361130862,0.316709969,12.21875,7.578125,0.027647168,0.013823605,0.442355345,737,32
190,EIA PPII - PLATERO sobre YNC,Miconia sp.01,0.105042003,0.00866599,0.048529498,0.060661901,10,8,0.000714981,0.000357491,0.000357491,31,1
191,EIA PPII - PLATERO sobre YNC,Ocotea sp.01,0.170472612,0.024339204,2.613404015,0.193953384,10.88888889,7.944444444,0.007968077,0.003984036,0.071712651,751,18
192,EIA PPII - PLATERO sobre YNC,Annona papilionella (Diels) H.Rainer,0.134599573,0.014414891,0.512729295,0.093427912,9.142857143,7.142857143,0.001750899,0.000875448,0.006128139,154,7
193,EIA PPII - PLATERO sobre YNC,Casearia javitensis Kunth,0.16565518,0.024002121,4.609836712,0.205059753,11.28205128,6.161538462,0.009998353,0.004999178,0.194967926,899,39
194,EIA PPII - PLATERO sobre YNC,Ladenbergia muzonensis (Goudot) Standl.,0.100267999,0.00789608,0.027636301,0.038690802,7,5,0.000313682,0.000156841,0.000156841,8,1
195,EIA PPII - PLATERO sobre YNC,Matayba arborescens (Aubl.) Radlk.,0.15337587,0.021686841,3.252751915,0.183005975,10.7826087,8.173913043,0.011247364,0.005623683,0.129344705,457,23
196,EIA PPII - PLATERO sobre YNC,Alchornea triplinervia (Spreng.) Müll.Arg.,0.20698271,0.041559923,7.023878344,0.477176133,15.20833333,7.1875,0.068808734,0.034404336,0.825704071,623,24
197,EIA PPII - PLATERO sobre YNC,Cordia gerascanthus L.,0.108543999,0.00925335,0.032386702,0.0777281,12,5,0.00112598,0.000562991,0.000562991,15,1
198,EIA PPII - PLATERO sobre YNC,Miconia micropetala Cogn.,0.201217994,0.035313999,0.276877195,0.365756657,13,5.75,0.027078285,0.013539143,0.027078286,72,2
199,EIA PPII - PLATERO sobre YNC,Anacardium excelsum (Kunth) Skeels,0.245257832,0.051062266,1.692215692,0.722287721,17.33333333,7.75,0.097445556,0.048722769,0.292336615,133,6
200,EIA PPII - PLATERO sobre YNC,Aspidosperma darienense Woodson ex Dwyer,0.300803006,0.071064703,0.497453004,1.243630052,25,10,0.180912003,0.090456098,0.090456098,32,1
201,EIA PPII - PLATERO sobre YNC,Genipa americana L.,0.126368996,0.0126045,0.0806469,0.105800949,11.5,4.5,0.002256319,0.001128157,0.002256314,123,2
202,EIA PPII - PLATERO sobre YNC,Triplaris americana L.,0.153055231,0.020758263,2.473111186,0.216215949,14.69230769,7.480769231,0.011072831,0.005536415,0.143946791,858,26
203,EIA PPII - PLATERO sobre YNC,Faramea occidentalis (L.) A. Rich.,0.117775001,0.0108942,0.012964,0.045755502,6,1.700000048,0.000426505,0.000213252,0.000213252,7,1
204,EIA PPII - PLATERO sobre YNC,Ocotea aciphylla (Nees & Mart.) Mez,0.221316284,0.039794901,1.134623986,0.397183144,13.85714286,5.857142857,0.025445592,0.012722793,0.08905955,175,7
